CustomerID,Recency,Frequency,Monetary,RecencyQuartile,FrequencyQuartile,MonetaryQuartile,RFMScore,RFScore,CustomerClass
12797,365,1,38.87,1,1,2,112,11,Hibernando
17251,362,1,136.64,1,1,3,113,11,Hibernando
16098,87,4,192.47,2,4,3,243,24,Clientes Fieis
14708,2,2,70.67,4,2,2,422,42,Fieis em Potencial
16458,2,10,205.44,4,4,4,444,44,Campe̵es
12665,324,1,2.5,1,1,1,111,11,Hibernando
13491,51,7,225.19,3,4,4,344,34,Clientes Fieis
17404,25,8,213.47,3,4,4,344,34,Clientes Fieis
13941,21,5,173.63,4,4,3,443,44,Campe̵es
16161,1,8,598.04,4,4,4,444,44,Campe̵es
12683,92,8,337.6,2,4,4,244,24,Clientes Fieis
16168,10,16,211.54,4,4,4,444,44,Campe̵es
14082,364,1,75.04,1,1,2,112,11,Hibernando
14667,10,8,470.66,4,4,4,444,44,Campe̵es
15938,112,4,33.82,2,4,1,241,24,Clientes Fieis
17897,172,2,197.52,2,2,3,223,22,Indo Hibernar
14135,1,9,222.44,4,4,4,444,44,Campe̵es
18008,73,3,19.46,2,3,1,231,23,Precisa de Aten̤̣o
16552,242,2,69.87,1,2,2,122,12,Hibernando
16244,211,2,233.62,1,2,4,124,12,Hibernando
14150,35,2,43.74,3,2,2,322,32,Fieis em Potencial
14987,15,2,10.2,4,2,1,421,42,Fieis em Potencial
15607,336,1,15.28,1,1,1,111,11,Hibernando
14175,59,2,396.47,3,2,4,324,32,Fieis em Potencial
17908,373,1,155.01,1,1,3,113,11,Hibernando
17377,23,17,954.66,3,4,4,344,34,Clientes Fieis
15738,18,12,256.44,4,4,4,444,44,Campe̵es
18077,33,8,302.15,3,4,4,344,34,Clientes Fieis
18065,5,13,467.22,4,4,4,444,44,Campe̵es
13021,25,5,280.84,3,4,4,344,34,Clientes Fieis
12782,4,5,251.96,4,4,4,444,44,Campe̵es
13313,35,2,74.86,3,2,2,322,32,Fieis em Potencial
15602,70,3,40.74,2,3,2,232,23,Precisa de Aten̤̣o
16752,372,1,122.35,1,1,3,113,11,Hibernando
15503,362,1,143.72,1,1,3,113,11,Hibernando
12971,3,45,359.91,4,4,4,444,44,Campe̵es
12647,22,6,238.99,3,4,4,344,34,Clientes Fieis
14479,253,2,72.3,1,2,2,122,12,Hibernando
16422,31,32,430.0,3,4,4,344,34,Clientes Fieis
14669,241,3,460.02,1,3,4,134,13,Em Risco
14680,71,9,356.01,2,4,4,244,24,Clientes Fieis
13329,31,2,38.31,3,2,2,322,32,Fieis em Potencial
17990,236,3,67.35,1,3,2,132,13,Em Risco
15910,0,5,320.89,4,4,4,444,44,Campe̵es
13255,373,1,27.3,1,1,1,111,11,Hibernando
15312,354,1,36.04,1,1,1,111,11,Hibernando
15159,1,16,793.79,4,4,4,444,44,Campe̵es
14409,122,3,135.0,2,3,3,233,23,Precisa de Aten̤̣o
13599,8,14,298.91,4,4,4,444,44,Campe̵es
13473,60,2,78.29,3,2,2,322,32,Fieis em Potencial
12523,19,6,254.04,4,4,4,444,44,Campe̵es
12924,275,2,26.62,1,2,1,121,12,Hibernando
15039,9,42,4533.75,4,4,4,444,44,Campe̵es
17041,26,3,135.04,3,3,3,333,33,Fieis em Potencial
15615,45,10,495.83,3,4,4,344,34,Clientes Fieis
14849,21,20,642.77,4,4,4,444,44,Campe̵es
13094,129,9,24.76,2,4,1,241,24,Clientes Fieis
15101,8,2,22.44,4,2,1,421,42,Fieis em Potencial
13506,369,1,48.19,1,1,2,112,11,Hibernando
13369,365,1,91.62,1,1,3,113,11,Hibernando
14401,95,5,81.43,2,4,2,242,24,Clientes Fieis
16145,8,8,343.19,4,4,4,444,44,Campe̵es
17593,3,4,293.17,4,4,4,444,44,Campe̵es
15658,197,4,296.0,1,4,4,144,14,Ṇo pode Perde-los
17228,15,7,328.04,4,4,4,444,44,Campe̵es
14907,147,4,324.64,2,4,4,244,24,Clientes Fieis
14290,67,2,184.32,2,2,3,223,22,Indo Hibernar
15394,9,2,120.64,4,2,3,423,42,Fieis em Potencial
14976,274,2,129.05,1,2,3,123,12,Hibernando
17860,368,1,148.27,1,1,3,113,11,Hibernando
17706,60,10,989.58,3,4,4,344,34,Clientes Fieis
13240,365,1,58.28,1,1,2,112,11,Hibernando
17696,185,3,65.83,1,3,2,132,13,Em Risco
17572,99,3,33.5,2,3,1,231,23,Precisa de Aten̤̣o
15601,122,7,614.27,2,4,4,244,24,Clientes Fieis
17857,32,10,20.4,3,4,1,341,34,Clientes Fieis
13090,8,10,457.87,4,4,4,444,44,Campe̵es
18144,7,4,45.73,4,4,2,442,44,Campe̵es
18055,39,8,975.42,3,4,4,344,34,Clientes Fieis
15854,86,5,133.6,2,4,3,243,24,Clientes Fieis
16954,0,7,152.07,4,4,3,443,44,Campe̵es
13092,70,3,54.15,2,3,2,232,23,Precisa de Aten̤̣o
13368,256,2,142.61,1,2,3,123,12,Hibernando
13815,318,1,96.61,1,1,3,113,11,Hibernando
15513,40,15,1170.64,3,4,4,344,34,Clientes Fieis
17735,93,9,776.42,2,4,4,244,24,Clientes Fieis
17870,14,7,419.22,4,4,4,444,44,Campe̵es
15279,354,1,73.36,1,1,2,112,11,Hibernando
17849,263,3,211.3,1,3,4,134,13,Em Risco
17365,12,8,904.87,4,4,4,444,44,Campe̵es
15291,25,9,261.17,3,4,4,344,34,Clientes Fieis
12989,8,9,124.81,4,4,3,443,44,Campe̵es
14368,319,1,49.0,1,1,2,112,11,Hibernando
15752,39,5,430.01,3,4,4,344,34,Clientes Fieis
16931,39,12,993.89,3,4,4,344,34,Clientes Fieis
14961,10,5,435.78,4,4,4,444,44,Campe̵es
16470,51,4,323.95,3,4,4,344,34,Clientes Fieis
14978,235,4,809.55,1,4,4,144,14,Ṇo pode Perde-los
18061,21,7,146.52,4,4,3,443,44,Campe̵es
13000,106,3,93.39,2,3,3,233,23,Precisa de Aten̤̣o
16743,155,4,174.76,2,4,3,243,24,Clientes Fieis
15780,183,3,120.57,1,3,3,133,13,Em Risco
14113,3,3,68.73,4,3,2,432,43,Fieis em Potencial
17809,16,9,112.03,4,4,3,443,44,Campe̵es
12712,28,6,251.67,3,4,4,344,34,Clientes Fieis
13162,334,1,42.03,1,1,2,112,11,Hibernando
12826,2,5,98.89,4,4,3,443,44,Campe̵es
14784,323,1,8.43,1,1,1,111,11,Hibernando
14970,316,1,33.75,1,1,1,111,11,Hibernando
17059,29,3,865.15,3,3,4,334,33,Fieis em Potencial
17194,360,1,78.23,1,1,2,112,11,Hibernando
12585,351,1,165.73,1,1,3,113,11,Hibernando
12500,49,9,171.68,3,4,3,343,34,Clientes Fieis
15812,151,2,30.09,2,2,1,221,22,Indo Hibernar
16367,362,1,102.42,1,1,3,113,11,Hibernando
15482,15,9,292.52,4,4,4,444,44,Campe̵es
17913,58,2,143.62,3,2,3,323,32,Fieis em Potencial
13104,46,3,22.62,3,3,1,331,33,Fieis em Potencial
13405,317,1,33.5,1,1,1,111,11,Hibernando
14045,337,3,16.9,1,3,1,131,13,Em Risco
18226,81,5,295.77,2,4,4,244,24,Clientes Fieis
17368,32,4,72.05,3,4,2,342,34,Clientes Fieis
12672,329,1,37.9,1,1,2,112,11,Hibernando
14085,7,6,455.43,4,4,4,444,44,Campe̵es
16083,100,2,48.82,2,2,2,222,22,Indo Hibernar
13627,79,3,176.01,2,3,3,233,23,Precisa de Aten̤̣o
15640,121,3,53.54,2,3,2,232,23,Precisa de Aten̤̣o
15038,58,6,543.76,3,4,4,344,34,Clientes Fieis
17526,4,4,99.29,4,4,3,443,44,Campe̵es
17338,361,1,160.11,1,1,3,113,11,Hibernando
17965,37,8,776.84,3,4,4,344,34,Clientes Fieis
15222,318,1,6.72,1,1,1,111,11,Hibernando
15967,318,1,122.6,1,1,3,113,11,Hibernando
12494,15,5,99.67,4,4,3,443,44,Campe̵es
13317,198,5,304.26,1,4,4,144,14,Ṇo pode Perde-los
15953,211,2,25.09,1,2,1,121,12,Hibernando
15497,17,2,53.9,4,2,2,422,42,Fieis em Potencial
17924,11,5,81.53,4,4,2,442,44,Campe̵es
12841,4,17,682.68,4,4,4,444,44,Campe̵es
13652,45,3,196.77,3,3,3,333,33,Fieis em Potencial
14733,110,5,304.7,2,4,4,244,24,Clientes Fieis
14176,297,3,105.3,1,3,3,133,13,Em Risco
17076,273,2,68.0,1,2,2,122,12,Hibernando
13069,0,13,433.2,4,4,4,444,44,Campe̵es
14243,8,4,255.79,4,4,4,444,44,Campe̵es
14560,16,13,281.25,4,4,4,444,44,Campe̵es
13817,351,1,15.2,1,1,1,111,11,Hibernando
14782,319,1,15.1,1,1,1,111,11,Hibernando
14156,9,32,2517.07,4,4,4,444,44,Campe̵es
16353,3,15,197.27,4,4,3,443,44,Campe̵es
17026,369,1,14.45,1,1,1,111,11,Hibernando
14189,43,7,229.27,3,4,4,344,34,Clientes Fieis
14821,366,1,5.05,1,1,1,111,11,Hibernando
16863,366,1,14.05,1,1,1,111,11,Hibernando
17722,189,3,273.71,1,3,4,134,13,Em Risco
14414,91,4,45.96,2,4,2,242,24,Clientes Fieis
17069,77,5,219.46,2,4,4,244,24,Clientes Fieis
13158,94,3,115.3,2,3,3,233,23,Precisa de Aten̤̣o
16905,236,2,111.95,1,2,3,123,12,Hibernando
15749,332,2,15.8,1,2,1,121,12,Hibernando
17287,74,4,212.34,2,4,4,244,24,Clientes Fieis
14256,364,1,98.45,1,1,3,113,11,Hibernando
16670,16,7,432.94,4,4,4,444,44,Campe̵es
13004,11,12,619.72,4,4,4,444,44,Campe̵es
14047,8,4,135.74,4,4,3,443,44,Campe̵es
17418,323,1,23.43,1,1,1,111,11,Hibernando
13831,87,4,81.6,2,4,2,242,24,Clientes Fieis
14744,16,5,55.8,4,4,2,442,44,Campe̵es
14298,30,22,1453.47,3,4,4,344,34,Clientes Fieis
17389,0,13,377.52,4,4,4,444,44,Campe̵es
17951,39,2,44.17,3,2,2,322,32,Fieis em Potencial
18219,2,6,269.42,4,4,4,444,44,Campe̵es
15973,366,1,17.71,1,1,1,111,11,Hibernando
14037,364,1,91.0,1,1,3,113,11,Hibernando
16923,12,15,1762.15,4,4,4,444,44,Campe̵es
14841,59,3,185.29,3,3,3,333,33,Fieis em Potencial
15070,372,1,2.95,1,1,1,111,11,Hibernando
12600,28,6,108.9,3,4,3,343,34,Clientes Fieis
17188,29,4,148.34,3,4,3,343,34,Clientes Fieis
16757,318,1,9.54,1,1,1,111,11,Hibernando
16638,22,7,239.6,3,4,4,344,34,Clientes Fieis
16955,184,2,44.38,1,2,2,122,12,Hibernando
12947,143,4,266.04,2,4,4,244,24,Clientes Fieis
16655,17,3,262.31,4,3,4,434,43,Fieis em Potencial
16359,94,6,443.91,2,4,4,244,24,Clientes Fieis
12431,35,10,641.25,3,4,4,344,34,Clientes Fieis
17259,368,1,192.62,1,1,3,113,11,Hibernando
17450,10,28,668.36,4,4,4,444,44,Campe̵es
16558,0,8,584.08,4,4,4,444,44,Campe̵es
13629,30,8,114.72,3,4,3,343,34,Clientes Fieis
15611,9,6,119.2,4,4,3,443,44,Campe̵es
17114,5,3,241.9,4,3,4,434,43,Fieis em Potencial
16850,333,1,40.3,1,1,2,112,11,Hibernando
12527,81,3,34.73,2,3,1,231,23,Precisa de Aten̤̣o
14696,119,2,92.81,2,2,3,223,22,Indo Hibernar
17504,206,7,273.27,1,4,4,144,14,Ṇo pode Perde-los
17690,45,6,1099.94,3,4,4,344,34,Clientes Fieis
13777,0,16,244.16,4,4,4,444,44,Campe̵es
15841,72,2,26.61,2,2,1,221,22,Indo Hibernar
15626,74,2,80.7,2,2,2,222,22,Indo Hibernar
17018,40,2,99.57,3,2,3,323,32,Fieis em Potencial
17827,364,3,305.82,1,3,4,134,13,Em Risco
18097,7,4,161.69,4,4,3,443,44,Campe̵es
14589,371,1,23.85,1,1,1,111,11,Hibernando
14911,2,113,13309.83,4,4,4,444,44,Campe̵es
14462,120,3,146.57,2,3,3,233,23,Precisa de Aten̤̣o
13534,32,18,666.5,3,4,4,344,34,Clientes Fieis
14472,103,7,623.01,2,4,4,244,24,Clientes Fieis
17591,122,2,103.39,2,2,3,223,22,Indo Hibernar
17796,313,3,307.0,1,3,4,134,13,Em Risco
15262,323,1,32.95,1,1,1,111,11,Hibernando
16898,368,1,72.09,1,1,2,112,11,Hibernando
15384,169,2,76.33,2,2,2,222,22,Indo Hibernar
16875,144,3,251.49,2,3,4,234,23,Precisa de Aten̤̣o
12356,22,3,170.87,3,3,3,333,33,Fieis em Potencial
13901,107,3,426.62,2,3,4,234,23,Precisa de Aten̤̣o
14344,206,3,80.15,1,3,2,132,13,Em Risco
13155,79,3,226.09,2,3,4,234,23,Precisa de Aten̤̣o
12441,366,1,22.71,1,1,1,111,11,Hibernando
15514,33,5,179.23,3,4,3,343,34,Clientes Fieis
12530,59,4,184.44,3,4,3,343,34,Clientes Fieis
15395,325,1,45.8,1,1,2,112,11,Hibernando
15820,319,1,38.24,1,1,2,112,11,Hibernando
16153,49,5,266.19,3,4,4,344,34,Clientes Fieis
16546,290,2,47.2,1,2,2,122,12,Hibernando
13963,339,2,45.86,1,2,2,122,12,Hibernando
13078,16,14,737.98,4,4,4,444,44,Campe̵es
13093,275,5,331.27,1,4,4,144,14,Ṇo pode Perde-los
17674,368,1,7.24,1,1,1,111,11,Hibernando
17341,156,3,388.1,2,3,4,234,23,Precisa de Aten̤̣o
12963,8,6,248.85,4,4,4,444,44,Campe̵es
13614,330,1,80.55,1,1,2,112,11,Hibernando
14233,211,3,65.44,1,3,2,132,13,Em Risco
18043,24,3,352.37,3,3,4,334,33,Fieis em Potencial
15562,351,1,3.45,1,1,1,111,11,Hibernando
18085,373,1,34.6,1,1,1,111,11,Hibernando
15465,19,18,649.78,4,4,4,444,44,Campe̵es
15048,116,3,204.43,2,3,4,234,23,Precisa de Aten̤̣o
16525,16,15,361.05,4,4,4,444,44,Campe̵es
12875,362,1,0.17,1,1,1,111,11,Hibernando
17841,1,48,8240.97,4,4,4,444,44,Campe̵es
14491,372,1,16.6,1,1,1,111,11,Hibernando
16122,112,3,59.12,2,3,2,232,23,Precisa de Aten̤̣o
12721,31,4,211.61,3,4,4,344,34,Clientes Fieis
13385,329,1,158.66,1,1,3,113,11,Hibernando
17861,29,2,40.17,3,2,2,322,32,Fieis em Potencial
15581,238,2,24.4,1,2,1,121,12,Hibernando
14321,10,4,174.5,4,4,3,443,44,Campe̵es
13284,330,1,57.17,1,1,2,112,11,Hibernando
13001,184,6,329.13,1,4,4,144,14,Ṇo pode Perde-los
17511,2,20,1585.15,4,4,4,444,44,Campe̵es
17925,372,1,3.39,1,1,1,111,11,Hibernando
13458,43,9,638.86,3,4,4,344,34,Clientes Fieis
15213,318,2,37.29,1,2,1,121,12,Hibernando
14307,88,5,379.51,2,4,4,244,24,Clientes Fieis
15955,106,5,215.91,2,4,4,244,24,Clientes Fieis
14180,10,12,1200.19,4,4,4,444,44,Campe̵es
13468,1,21,669.43,4,4,4,444,44,Campe̵es
12668,11,2,181.88,4,2,3,423,42,Fieis em Potencial
12829,336,1,67.8,1,1,2,112,11,Hibernando
15694,0,7,216.84,4,4,4,444,44,Campe̵es
17227,18,5,52.76,4,4,2,442,44,Campe̵es
14527,2,44,4299.08,4,4,4,444,44,Campe̵es
15563,22,3,211.52,3,3,4,334,33,Fieis em Potencial
15370,40,4,122.38,3,4,3,343,34,Clientes Fieis
14390,37,3,297.24,3,3,4,334,33,Fieis em Potencial
13013,35,11,636.2,3,4,4,344,34,Clientes Fieis
15898,226,3,195.68,1,3,3,133,13,Em Risco
16985,17,8,366.52,4,4,4,444,44,Campe̵es
17811,7,26,1490.17,4,4,4,444,44,Campe̵es
14242,234,2,59.53,1,2,2,122,12,Hibernando
16473,164,2,40.99,2,2,2,222,22,Indo Hibernar
15363,372,1,47.8,1,1,2,112,11,Hibernando
17862,323,1,56.6,1,1,2,112,11,Hibernando
16496,8,3,270.28,4,3,4,434,43,Fieis em Potencial
12753,22,4,375.76,3,4,4,344,34,Clientes Fieis
17236,12,4,199.28,4,4,4,444,44,Campe̵es
12793,334,1,27.44,1,1,1,111,11,Hibernando
14040,40,7,481.76,3,4,4,344,34,Clientes Fieis
15260,186,4,171.07,1,4,3,143,14,Ṇo pode Perde-los
16019,46,6,390.43,3,4,4,344,34,Clientes Fieis
16927,115,2,2.49,2,2,1,221,22,Indo Hibernar
16326,5,12,1406.64,4,4,4,444,44,Campe̵es
16493,79,2,51.64,2,2,2,222,22,Indo Hibernar
15535,327,2,163.14,1,2,3,123,12,Hibernando
17118,317,1,13.58,1,1,1,111,11,Hibernando
17181,373,1,1.61,1,1,1,111,11,Hibernando
15919,19,2,352.44,4,2,4,424,42,Fieis em Potencial
15078,11,18,522.84,4,4,4,444,44,Campe̵es
13842,58,7,646.47,3,4,4,344,34,Clientes Fieis
12471,15,20,901.68,4,4,4,444,44,Campe̵es
12474,50,10,489.38,3,4,4,344,34,Clientes Fieis
17890,322,1,86.94,1,1,2,112,11,Hibernando
17017,2,10,216.33,4,4,4,444,44,Campe̵es
12423,0,8,244.2,4,4,4,444,44,Campe̵es
16567,336,1,62.87,1,1,2,112,11,Hibernando
17787,152,3,272.79,2,3,4,234,23,Precisa de Aten̤̣o
17967,371,1,90.23,1,1,3,113,11,Hibernando
16722,65,8,169.7,3,4,3,343,34,Clientes Fieis
18119,367,1,83.47,1,1,2,112,11,Hibernando
14796,56,12,1505.84,3,4,4,344,34,Clientes Fieis
15032,366,1,52.15,1,1,2,112,11,Hibernando
17819,71,5,142.66,2,4,3,243,24,Clientes Fieis
12734,352,1,4.74,1,1,1,111,11,Hibernando
17095,22,2,199.41,3,2,4,324,32,Fieis em Potencial
14442,204,2,398.38,1,2,4,124,12,Hibernando
16891,1,4,520.21,4,4,4,444,44,Campe̵es
17346,3,11,921.24,4,4,4,444,44,Campe̵es
15346,332,1,43.69,1,1,2,112,11,Hibernando
16983,12,5,278.05,4,4,4,444,44,Campe̵es
16593,50,3,130.54,3,3,3,333,33,Fieis em Potencial
14534,2,12,1039.97,4,4,4,444,44,Campe̵es
14543,28,9,191.96,3,4,3,343,34,Clientes Fieis
14769,2,4,277.84,4,4,4,444,44,Campe̵es
16782,17,5,498.24,4,4,4,444,44,Campe̵es
17146,105,2,182.3,2,2,3,223,22,Indo Hibernar
13527,33,5,621.72,3,4,4,344,34,Clientes Fieis
17396,148,5,75.95,2,4,2,242,24,Clientes Fieis
16500,4,3,178.39,4,3,3,433,43,Fieis em Potencial
12820,74,2,42.6,2,2,2,222,22,Indo Hibernar
14060,4,13,192.42,4,4,3,443,44,Campe̵es
15021,8,8,1028.04,4,4,4,444,44,Campe̵es
17315,1,27,863.9,4,4,4,444,44,Campe̵es
16904,108,6,927.01,2,4,4,244,24,Clientes Fieis
17850,372,26,841.1,1,4,4,144,14,Ṇo pode Perde-los
18109,1,13,1048.55,4,4,4,444,44,Campe̵es
13324,89,7,164.54,2,4,3,243,24,Clientes Fieis
15518,159,3,296.11,2,3,4,234,23,Precisa de Aten̤̣o
12451,10,4,625.91,4,4,4,444,44,Campe̵es
16583,373,1,35.9,1,1,1,111,11,Hibernando
18071,257,2,74.95,1,2,2,122,12,Hibernando
12524,63,4,130.24,3,4,3,343,34,Clientes Fieis
12855,372,1,4.65,1,1,1,111,11,Hibernando
18044,36,6,396.42,3,4,4,344,34,Clientes Fieis
12415,24,11,1213.05,3,4,4,344,34,Clientes Fieis
12490,17,5,217.36,4,4,4,444,44,Campe̵es
15061,3,27,585.99,4,4,4,444,44,Campe̵es
12877,3,7,97.2,4,4,3,443,44,Campe̵es
12736,332,1,4.32,1,1,1,111,11,Hibernando
18190,330,1,33.99,1,1,1,111,11,Hibernando
17372,40,3,208.27,3,3,4,334,33,Fieis em Potencial
15296,50,4,445.3,3,4,4,344,34,Clientes Fieis
17920,11,7,846.29,4,4,4,444,44,Campe̵es
12915,148,2,149.35,2,2,3,223,22,Indo Hibernar
13370,371,1,145.39,1,1,3,113,11,Hibernando
17691,368,1,35.05,1,1,1,111,11,Hibernando
14616,242,3,10.32,1,3,1,131,13,Em Risco
15860,40,6,380.3,3,4,4,344,34,Clientes Fieis
16062,9,3,115.61,4,3,3,433,43,Fieis em Potencial
18095,312,2,55.0,1,2,2,122,12,Hibernando
15174,322,1,17.04,1,1,1,111,11,Hibernando
12791,373,1,1.85,1,1,1,111,11,Hibernando
15304,60,7,159.0,3,4,3,343,34,Clientes Fieis
16016,79,2,242.23,2,2,4,224,22,Indo Hibernar
17675,18,17,1260.05,4,4,4,444,44,Campe̵es
16607,17,8,501.48,4,4,4,444,44,Campe̵es
16143,212,2,222.03,1,2,4,124,12,Hibernando
13748,95,4,92.4,2,4,3,243,24,Clientes Fieis
13199,3,24,232.76,4,4,4,444,44,Campe̵es
16233,329,2,41.65,1,2,2,122,12,Hibernando
17629,5,6,224.16,4,4,4,444,44,Campe̵es
13659,205,2,398.23,1,2,4,124,12,Hibernando
15356,296,2,228.44,1,2,4,124,12,Hibernando
15587,89,3,20.31,2,3,1,231,23,Precisa de Aten̤̣o
14229,51,3,128.8,3,3,3,333,33,Fieis em Potencial
14270,331,1,132.55,1,1,3,113,11,Hibernando
16218,29,7,140.39,3,4,3,343,34,Clientes Fieis
15570,141,4,451.19,2,4,4,244,24,Clientes Fieis
15018,38,3,201.73,3,3,4,334,33,Fieis em Potencial
16499,364,1,46.25,1,1,2,112,11,Hibernando
13183,7,7,120.71,4,4,3,443,44,Campe̵es
12951,8,5,150.7,4,4,3,443,44,Campe̵es
14741,11,3,57.06,4,3,2,432,43,Fieis em Potencial
18156,12,2,420.03,4,2,4,424,42,Fieis em Potencial
15805,31,9,498.89,3,4,4,344,34,Clientes Fieis
17454,233,2,81.8,1,2,2,122,12,Hibernando
12346,325,1,1.04,1,1,1,111,11,Hibernando
12557,332,2,21.41,1,2,1,121,12,Hibernando
17616,173,3,7.65,2,3,1,231,23,Precisa de Aten̤̣o
16656,30,9,99.29,3,4,3,343,34,Clientes Fieis
17068,49,9,380.75,3,4,4,344,34,Clientes Fieis
17062,313,4,150.92,1,4,3,143,14,Ṇo pode Perde-los
15881,361,1,0.85,1,1,1,111,11,Hibernando
14057,23,10,345.69,3,4,4,344,34,Clientes Fieis
14051,0,9,436.58,4,4,4,444,44,Campe̵es
15361,361,1,9.41,1,1,1,111,11,Hibernando
16191,2,9,243.51,4,4,4,444,44,Campe̵es
15510,330,1,125.0,1,1,3,113,11,Hibernando
17968,373,1,163.98,1,1,3,113,11,Hibernando
15028,42,3,82.52,3,3,2,332,33,Fieis em Potencial
14673,9,3,109.12,4,3,3,433,43,Fieis em Potencial
14388,35,5,320.06,3,4,4,344,34,Clientes Fieis
13269,21,7,458.83,4,4,4,444,44,Campe̵es
12872,326,1,65.53,1,1,2,112,11,Hibernando
15167,320,1,109.65,1,1,3,113,11,Hibernando
17126,299,2,288.16,1,2,4,124,12,Hibernando
17496,358,1,51.65,1,1,2,112,11,Hibernando
13993,42,7,614.41,3,4,4,344,34,Clientes Fieis
